qID,sID,content,datePosted,isApproved,abroadProgram
1,30,"What is the culture like in the city, and how can I best integrate into it?",2024-03-06 03:34:04,0,43
2,85,How do I open a bank account as an international student?,2023-11-30 21:12:47,1,23
3,46,Are there any cultural differences I should be aware of when studying here?,2024-11-03 12:04:12,1,27
4,91,Are there internship or job opportunities available for international students?,2024-02-08 07:52:40,0,3
5,34,What is the general attitude toward international students in this country?,2024-02-16 02:36:42,0,30
6,25,"What is the culture like in the city, and how can I best integrate into it?",2024-02-09 02:59:01,1,27
7,28,Are there any local banks that offer student accounts with no fees?,2024-01-26 04:05:28,1,26
8,4,Is it easy to travel around the country during weekends or holidays?,2024-01-01 14:21:17,0,44
9,70,What are the most common challenges international students face in this city or country?,2024-11-17 14:58:54,0,6
10,55,How do I get a residence permit or extend my stay if I decide to stay longer?,2024-04-17 12:29:47,0,35
11,27,Can I work part-time while studying abroad?,2024-04-26 21:55:13,1,38
12,100,"What is the culture like in the city, and how can I best integrate into it?",2024-11-27 11:26:10,1,38
13,71,Are there any local traditions or holidays I should be aware of during my stay?,2024-06-04 20:22:01,1,45
14,17,What is the local attitude toward environmental sustainability and eco-friendly practices?,2023-12-13 04:18:44,0,4
15,33,Can I transfer credits from my study abroad program back to my home institution?,2023-12-23 13:15:54,0,48
16,1,Are there any local networking or career events for international students?,2024-06-24 02:24:28,1,28
17,52,How do I get involved in research or academic opportunities as an international student?,2024-07-15 18:19:40,0,16
18,8,How can I stay connected with family and friends back home while abroad?,2024-08-31 00:02:15,0,3
19,45,Are there opportunities for international students to engage in local political or social movements?,2024-08-29 18:03:12,1,35
20,85,What are the main safety concerns in this city or country?,2024-09-26 12:01:50,0,38
21,65,What is the procedure for enrolling in courses as an international student?,2024-08-19 23:52:13,0,4
22,62,How safe is the neighborhood around the university for international students?,2024-11-12 05:43:41,1,47
23,82,Are there any local networking or career events for international students?,2024-11-08 00:39:47,0,23
24,26,"What is the culture like in the city, and how can I best integrate into it?",2024-11-09 18:55:52,1,15
25,37,Are there scholarships available for international students?,2023-12-14 15:45:50,0,19
26,51,How can I stay updated on events and activities on campus?,2024-07-20 00:42:18,0,18
27,86,What types of extracurricular activities are available for international students?,2024-03-26 22:31:39,1,12
28,52,"Can I use my phone plan from home, or do I need to get a local SIM card?",2024-09-08 11:25:42,1,20
29,38,Is it easy to travel around the country during weekends or holidays?,2024-02-15 19:11:11,0,25
30,53,What support is available for students with disabilities or special needs?,2023-12-11 14:49:55,1,55
31,66,Is the city known for any specific industries or fields of study that might benefit my career?,2024-10-31 13:36:03,1,32
32,45,Are there internship or job opportunities available for international students?,2024-09-30 00:34:46,1,29
33,30,Can I work part-time while studying abroad?,2023-12-09 08:02:50,0,41
34,71,What support is available for students with disabilities or special needs?,2024-07-10 00:18:10,0,39
35,20,What is the cost of living in the city where the program is located?,2024-04-02 11:13:05,1,55
36,85,What is the general level of English spoken in the city or region?,2024-10-27 08:27:58,1,44
37,10,How can I stay connected with family and friends back home while abroad?,2024-09-15 08:05:06,0,2
38,74,Are there any language courses available for non-native speakers before the program begins?,2024-02-15 05:12:19,1,15
39,78,"What is the food culture like, and are there options for vegetarians or vegans?",2024-04-28 19:01:32,1,19
40,69,"How do I handle emergencies, like accidents or illnesses, while studying abroad?",2024-05-04 05:34:53,0,33
41,43,"What is the culture like in the city, and how can I best integrate into it?",2024-03-03 11:23:03,0,20
42,62,Are there any local networking or career events for international students?,2023-12-12 03:06:16,0,52
43,21,How can I stay updated on events and activities on campus?,2024-02-29 22:16:17,0,52
44,66,What are the main safety concerns in this city or country?,2024-08-29 12:33:03,0,37
45,67,"Is there student housing available, or should I look for private accommodations?",2024-03-06 04:34:18,0,12
46,97,What is the student to faculty ratio at this university?,2024-11-24 19:17:25,0,7
47,3,"Is there student housing available, or should I look for private accommodations?",2024-06-14 01:04:21,0,56
48,17,How do I navigate the local legal system if I need assistance?,2023-12-25 17:23:05,1,19
49,57,Are there any student discounts available for transportation or entertainment?,2024-07-08 23:06:23,0,4
50,94,What is the local attitude toward tourists and foreigners in general?,2024-08-07 22:12:46,0,38
