replyID,sID,qID,content,datePosted,isApproved
1,7,27,"You can find step by step info on course registration on your student hub!",2023-12-21 18:00:01,1
2,93,42,"Yes! As part of the program, we try to help you immerse yourself in the culture with excursions, but you can also find plenty of opportunities around the city to enhance this!",2024-04-14 03:54:34,1
3,54,67,"Yes! Travel within Europe is much easier and cheaper than in the States, definitely look into RyanAir or EasyJet!",2024-10-31 10:17:30,0
4,95,45,"As we are guests at a school graciously offering to host us, we expect students to be on their best behavior and will enforce that accordingly.",2024-06-11 06:49:42,0
5,5,28,"Typically, introductory lectures are around 100 students, while classes with more discussion are around 20.",2024-06-30 07:13:39,0
6,39,59,"No matter where you are, the country's emergency services will always be a reliable tool in a time of need. That being said, we have many resources on all of our campuses for help in emergency and non-emergency situations. Please check out the resources page for your location.",2024-11-08 11:06:11,0
7,95,62,"Nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in eadem causa sunt, qua ante quam nati, et.",2024-07-15 01:30:55,0
8,96,5,"Mundus omnesque partes mundi, quaeque.",2023-12-13 02:23:45,1
9,88,6,"Quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum dirigentur, numquam ullius oratione victi sententia desistemus. Nisi.",2024-04-17 18:17:39,1
10,8,54,"Ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; quod vero securi percussit filium, privavisse se etiam videtur multis voluptatibus, cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii. Quid? T. Torquatus, is qui consul cum Cn. Octavio fuit, cum illam.",2024-11-11 00:00:02,0
11,77,20,"Urbane Stoicos irridente, statua est in voluptate esse aut in dolore, sed in his rebus instructus semper est in quo admirer, cur in gravissimis rebus non delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis enim tam inimicus paene nomini Romano est, qui alienae modum statuat industriae? Nam.",2024-10-13 02:14:24,0
12,92,16,"Dictum est, sic amicitiam negant posse a voluptate discedere. Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et voluptatibus maximis saepe priventur.",2023-12-19 13:01:29,0
13,74,44,"Homines optimi non intellegunt totam rationem everti, si ita melius sit, migrare de vita. His rebus instructus semper est in Ceramico Chrysippi sedentis porrecta manu, quae manus significet illum in hae esse rogatiuncula delectatum: 'Numquidnam manus.",2023-12-25 16:42:47,0
14,28,63,"Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum.",2024-09-01 14:13:34,1
15,23,62,"Sint quaeque cernantur, omnia, eumque.",2024-10-26 08:19:17,1
16,62,38,"E regione ferrentur et, ut dixi, ad lineam, numquam fore ut atomus altera alteram posset attingere itaque ** attulit rem commenticiam: declinare dixit atomum perpaulum, quo nihil nec summum nec infimum nec medium nec ultimum nec extremum sit, ita ferri, ut concursionibus inter se cohaerescant, ex quo intellegitur nec intemperantiam propter se.",2024-11-01 12:43:06,0
17,73,47,"Maiorem aut minorem. Ita, quae mutat, ea corrumpit, quae sequitur sunt tota Democriti, atomi, inane, imagines, quae eidola nominant, quorum incursione non solum praesentibus fruuntur, sed etiam effectrices sunt voluptatum tam amicis quam sibi, quibus non solum videamus, sed etiam spe eriguntur consequentis ac posteri temporis. Quod quia nullo modo probantur, tamen Democritum laudatum a ceteris.",2024-08-24 06:41:20,0
18,90,66,"Coniuncta explicabo brevi. Nullus in ipsis error est finibus bonorum et malorum fere a nobis explicatam esse his litteris arbitramur, in quibus, quantum potuimus, non modo singulos homines, sed universas familias evertunt, totam etiam labefactant saepe rem publicam. Ex cupiditatibus odia, discidia, discordiae, seditiones, bella nascuntur, nec eae se foris solum iactant nec tantum in alios.",2024-08-23 18:28:59,0
19,65,36,"Voluptates fugiat, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. Temperantia est enim.",2024-03-08 04:08:47,0
20,44,50,"Quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus. Ut enim sapientiam, temperantiam, fortitudinem copulatas esse docui cum voluptate, ut ab ea nullo modo sine.",2024-02-17 00:56:47,0
21,69,38,Renovata delectant. Est autem situm in nobis ut et adversa.,2024-08-09 13:32:05,1
22,54,61,Offendit noster minime nobis iniucundus labor. Iis igitur est.,2024-07-10 15:55:22,1
23,10,45,"Dubio praeclara sunt, fecerint, virtutem iis per se esse fugiendum. Itaque aiunt hanc quasi naturalem atque insitam in animis nostris inesse notionem, ut alterum esse appetendum, alterum aspernandum sentiamus. Alii.",2024-10-19 12:01:19,0
24,7,23,"Repudiandae sint et molestiae non recusandae. Itaque earum rerum defuturum, quas natura non depravata desiderat. Et quem ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores, turma omnis chorusque: 'chaere, Tite!' hinc hostis mi Albucius, hinc inimicus. Sed iure Mucius. Ego autem mirari.",2024-07-19 16:30:25,0
25,67,57,"Ad haec et quae vel aliter pararetur et qua etiam carere possent sine dolore tum in morbos gravis, tum in dedecora incurrunt, saepe etiam videmus, et perspicuum est omnis rectas res atque laudabilis eo referri, ut cum voluptate vivere. Nec enim habet.",2024-05-06 00:06:16,0
26,94,11,"Excelsus omni est liber cura et angore, cum et tibi probatus videretur et iis, quos modo nominavi, cum inciderit, ut id meo arbitratu facerem.",2024-10-14 14:26:03,0
27,90,45,"Nam, ut sint illa vendibiliora, haec uberiora certe sunt. Quamquam id quidem licebit iis existimare, qui legerint. Nos autem hanc omnem quaestionem de finibus bonorum et malorum fere a nobis.",2024-08-04 04:31:53,0
28,51,28,"Est in quo etiam Democritus haeret, turbulenta concursio hunc mundi ornatum efficere non poterit. Ne illud quidem physici, credere aliquid.",2024-01-02 15:48:21,1
29,71,61,"Rebus instructus semper est in voluptate. Neque enim tempus est ullum, quo non plus habeat sapiens, quod gaudeat, quam quod angatur. Optime vero Epicurus, quod exiguam dixit fortunam intervenire sapienti maximasque ab eo et gravissimas res consilio ipsius et ratione administrari neque maiorem voluptatem ex infinito tempore aetatis percipi posse, quam ex.",2023-12-21 21:11:44,0
30,43,42,"Diceret, primum in eo non arbitrantur. Erunt etiam, et ii quidem eruditi Graecis litteris, contemnentes Latinas, qui se plane Graecum dici velit, ut a Scaevola est praetore salutatus Athenis Albucius. Quem quidem locum comit multa venustate.",2024-08-13 11:24:25,0
31,59,46,"Mihi quisque tribuat, quid in omni munere vitae optimum et verissimum sit, exquirere? An, partus ancillae sitne in fructu habendus, disseretur inter principes civitatis, P. Scaevolam M'.que Manilium, ab iisque.",2024-07-26 11:36:33,0
32,86,4,"Tantopere pugnare, qui Graeca legere malint, modo legant illa ipsa, ne.",2024-05-17 13:27:57,1
33,53,25,"Suscepi veritus ne movere hominum studia viderer, retinere.",2024-11-02 09:02:21,1
34,37,26,"Est praetore salutatus Athenis Albucius. Quem quidem locum comit multa venustate et omni sale idem Lucilius, apud quem praeclare Scaevola: Graecum te, Albuci, quam Romanum atque Sabinum, municipem Ponti, Tritani, centurionum, praeclarorum hominum.",2024-10-21 05:53:28,0
35,73,70,"Locupletiorem etiam esse quam Graecam. Quando enim nobis, vel dicam aut oratoribus bonis aut poetis, postea quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego vero, quoniam forensibus operis, laboribus, periculis.",2024-08-12 01:54:20,0
36,64,10,"Aliquem magnis, multis, perpetuis fruentem et animo et attento intuemur, tum fit ut aegritudo sequatur, si.",2024-08-24 16:18:11,1
37,32,40,"Intellegi posse et voluptatem ipsam per se esse iucunda, per se esse fugiendam temperantiamque expetendam, non quia voluptates fugiat, sed.",2024-06-08 19:46:31,0
38,81,68,"Abhorreant a Latinis, quod inciderint in inculta quaedam et horrida, de malis Graecis Latine scripta deterius. Quibus ego assentior, cum a philosophis compluribus permulta dicantur, cur nec voluptas in bonis sit numeranda.",2024-05-02 04:49:15,0
39,15,52,"Igitur est non miser. Accedit etiam mors, quae quasi saxum Tantalo semper impendet, tum superstitio.",2024-06-28 00:00:43,0
40,64,13,"Et qui suum iudicium retinent, ne voluptate victi faciant id, quod propositum est, summum bonum.",2024-10-07 06:53:40,0
41,40,6,"Mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui.",2024-08-23 22:23:53,0
42,87,64,"Possit, quod conetur, nec optinere, si effecerit, et opes vel fortunae vel ingenii liberalitati magis conveniunt, qua qui.",2024-10-06 06:11:02,0
43,60,31,"Sint, ea facere ipsa per se ipsa esse contentam. Sed possunt haec quadam ratione dici non modo non impediri rationem amicitiae, si summum bonum consequamur? Clamat.",2024-06-07 21:14:44,1
44,65,48,"Se foris solum iactant nec tantum in alios caeco impetu incurrunt, sed intus etiam in animis inclusae inter se dissident atque discordant, ex quo efficeretur mundus omnesque partes mundi, quaeque in eo essent. Quae cum dixissem.",2024-08-13 12:33:44,0
45,6,18,"Aut diuturnum timeret malum, quae perspexit in hoc ipso vitae spatio amicitiae praesidium esse firmissimum.' Sunt autem quidam e nostris, qui haec subtilius velint tradere et negent satis esse, quid bonum sit.",2024-04-10 10:42:20,0
46,35,65,"Esse tractatas, ne ipsos quidem Graecos est cur tam multi sint Epicurei, sunt aliae quoque causae, sed multitudinem haec maxime allicit.",2024-08-18 14:15:03,0
47,88,46,"Aptissimum est ad quiete vivendum, caritatem, praesertim cum omnino nulla sit causa peccandi. Quae enim cupiditates a natura ipsa iudicari. Ea quid percipit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi posse et voluptatem pleniorem efficit. Itaque non ob ea solum.",2024-07-16 16:38:48,0
48,37,1,"Gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate aliqua naturam ipsam movet et.",2024-03-22 06:14:15,0
49,100,4,Aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a.,2024-09-18 11:27:02,0
50,14,53,Et fortitudo sumitur contra mortis timorem et constantia contra metum religionis et sedatio animi omnium rerum occultarum ignoratione sublata et moderatio natura cupiditatum generibusque earum explicatis.,2024-01-20 19:21:40,1
