featureID,empID,usageCount,date
1,18,174,2024-01-30 14:48:01
2,5,46,2023-12-14 16:56:09
3,37,362,2024-04-08 11:56:11
4,18,175,2024-01-31 01:37:57
5,40,397,2024-04-21 07:48:03
6,27,262,2024-03-02 20:20:11
7,50,494,2024-05-26 20:23:37
8,54,533,2024-06-10 06:03:51
9,61,618,2024-07-11 02:26:34
10,60,606,2024-07-06 18:25:53
11,55,594,2024-07-02 07:23:02
12,42,543,2024-06-13 19:44:31
13,50,415,2024-04-27 18:09:54
14,81,490,2024-05-25 08:27:23
15,22,807,2024-09-18 07:37:54
16,97,210,2024-02-12 20:59:41
17,28,749,2024-08-28 07:07:10
18,6,966,2024-11-15 12:03:39
19,64,273,2024-03-07 00:55:06
20,58,50,2023-12-16 10:22:56
21,65,635,2024-07-17 10:05:33
22,30,570,2024-06-23 15:58:10
23,21,269,2024-03-13 11:57:21
24,69,644,2024-10-29 03:57:07
25,81,291,2024-02-09 05:37:43
26,28,918,2024-08-02 23:31:10
27,60,200,2024-09-16 00:31:44
28,53,680,2024-03-07 21:17:13
29,40,801,2024-11-01 13:15:39
30,48,276,2024-07-02 00:21:32
31,85,928,2024-06-07 11:11:36
32,75,593,2024-04-21 05:30:04
33,57,526,2024-05-18 02:10:19
34,2,397,2024-09-30 09:35:36
35,22,470,2024-08-25 21:03:15
36,13,840,2024-06-21 08:10:51
37,49,743,2023-12-04 14:53:05
38,73,229,2023-12-01 12:22:16
39,50,564,2024-02-15 01:38:15
40,62,689,2024-01-12 08:40:07
41,43,18,2024-05-21 20:09:32
42,41,10,2024-05-27 20:59:36
43,93,216,2024-07-08 09:47:45
44,63,124,2024-05-01 03:05:27
45,26,480,2024-05-17 16:35:25
46,78,723,2024-04-23 15:46:18
47,64,497,2024-01-28 14:00:28
48,45,610,2024-03-09 02:08:41
49,75,424,2024-10-30 08:16:46
50,47,469,2024-07-14 07:14:35
51,51,403,2024-02-28 16:28:31
52,54,168,2024-09-07 03:50:11
53,71,279,2024-07-18 10:13:26
54,10,922,2023-12-19 03:11:22
55,14,626,2024-07-15 15:15:41
56,29,253,2023-12-23 05:17:43
57,61,776,2024-05-08 07:48:18
58,26,638,2024-08-26 19:24:35
59,4,58,2024-09-11 07:41:38
60,28,630,2024-05-15 22:05:48
61,79,69,2024-05-29 00:27:59
62,60,443,2024-06-11 02:04:59
63,33,745,2023-12-23 02:16:56
64,2,788,2024-08-12 10:21:28
65,21,464,2024-01-01 04:51:30
66,21,500,2024-01-15 01:34:23
67,19,536,2024-03-09 18:40:29
68,15,68,2024-08-17 02:31:52
69,62,706,2024-03-09 03:11:33
70,29,93,2024-07-05 09:46:26
71,75,131,2024-02-29 23:40:11
72,77,99,2023-12-10 09:50:08
73,66,281,2024-03-07 07:09:56
74,14,719,2024-09-10 12:55:07
75,87,279,2024-07-03 09:21:00
76,65,602,2024-03-25 20:46:38
77,88,257,2023-12-04 00:45:24
78,89,34,2024-02-11 11:24:51
79,75,274,2024-02-09 20:11:59
80,92,786,2024-02-03 14:56:58
81,84,597,2024-07-10 03:55:39
82,29,325,2024-03-11 12:48:30
83,59,16,2024-08-25 17:25:59
84,27,206,2024-09-01 19:07:35
85,95,202,2024-07-24 07:14:17
86,24,185,2024-01-16 04:37:08
87,51,140,2024-10-07 16:02:09
88,53,615,2024-07-20 07:55:45
89,7,286,2024-09-30 01:55:09
90,86,742,2024-10-11 17:53:28
91,12,762,2024-09-15 00:26:30
92,33,818,2024-10-17 15:40:29
93,91,654,2024-08-25 14:57:33
94,30,134,2024-10-27 12:25:42
95,15,860,2024-09-29 06:14:27
96,6,643,2024-03-09 21:28:52
97,90,839,2024-06-28 20:30:43
98,19,871,2024-03-04 07:33:50
99,10,798,2024-02-22 18:37:37
100,24,887,2024-05-29 08:30:13
