resourceID,locationID,category,lastUpdated
1,24,Research and Development,2024-04-16 13:51:15
2,45,Public Relations,2024-08-23 10:14:53
3,50,Legal,2024-09-26 07:25:01
4,57,Marketing,2024-11-05 02:06:33
5,19,Research and Development,2024-08-20 14:53:01
6,44,Technology,2024-06-24 21:35:50
7,35,Finance,2023-12-16 20:52:57
8,15,Research and Development,2024-08-26 07:48:15
9,4,Sales,2024-07-15 13:18:32
10,45,Customer Service,2024-04-12 08:45:52
11,38,Human Resources,2024-11-27 00:33:39
12,23,Technology,2024-06-09 22:00:36
13,60,Operations,2024-01-14 15:33:10
14,8,Human Resources,2024-02-19 11:15:55
15,14,Research and Development,2024-05-11 08:13:59
16,28,Finance,2024-01-05 09:06:54
17,7,Operations,2024-08-30 19:43:36
18,46,Customer Service,2023-12-15 11:57:12
19,3,Human Resources,2024-05-12 05:44:13
20,28,Human Resources,2024-01-29 02:13:30
21,11,Research and Development,2024-06-19 14:19:03
22,34,Legal,2024-01-11 17:55:46
23,9,Research and Development,2024-08-29 06:16:29
24,8,Human Resources,2024-11-01 11:21:12
25,46,Marketing,2024-04-13 10:23:24
26,56,Sales,2024-01-27 00:40:43
27,23,Technology,2024-08-26 15:39:24
28,10,Public Relations,2024-05-22 00:10:50
29,45,Sales,2024-01-09 11:32:12
30,29,Finance,2024-03-22 09:13:38
31,8,Operations,2024-07-12 05:10:40
32,38,Operations,2024-02-16 06:51:08
33,14,Customer Service,2024-09-21 09:59:21
34,18,Customer Service,2024-07-19 00:39:54
35,39,Finance,2023-12-15 09:23:28
36,3,Public Relations,2024-04-23 15:51:11
37,25,Research and Development,2024-04-24 20:52:03
38,25,Research and Development,2024-06-08 19:05:36
39,32,Public Relations,2024-05-29 03:15:49
40,31,Human Resources,2023-12-14 00:06:32
41,3,Human Resources,2024-04-15 21:13:21
42,49,Sales,2024-09-21 01:20:52
43,45,Technology,2024-08-24 05:20:27
44,46,Human Resources,2024-08-31 14:04:34
45,12,Legal,2024-02-05 13:59:13
46,49,Public Relations,2024-09-03 14:27:32
47,47,Human Resources,2024-01-04 20:29:33
48,7,Technology,2024-06-30 06:06:32
49,36,Technology,2024-01-11 03:33:57
50,8,Customer Service,2024-08-06 11:27:04
51,42,Customer Service,2024-07-10 18:28:21
52,38,Technology,2024-04-15 22:16:09
53,36,Marketing,2024-06-30 12:51:59
54,53,Finance,2024-10-15 13:31:52
55,13,Sales,2024-02-11 19:39:11
56,53,Technology,2024-10-14 05:50:08
57,9,Research and Development,2024-01-20 01:28:03
58,48,Technology,2024-09-14 13:45:05
59,30,Marketing,2024-05-23 15:32:03
60,55,Legal,2024-10-23 22:44:48
61,49,Customer Service,2024-09-19 17:32:19
62,7,Sales,2024-01-06 18:56:04
63,16,Sales,2024-02-27 09:58:17
64,14,Operations,2024-02-18 13:08:12
65,53,Operations,2024-10-12 07:49:25
66,32,Finance,2024-06-06 15:07:09
67,34,Legal,2024-06-21 12:08:10
68,31,Sales,2024-05-30 07:16:53
69,18,Customer Service,2024-03-15 15:23:01
70,16,Sales,2024-06-27 03:18:04
71,35,Human Resources,2024-10-21 22:15:21
72,42,Marketing,2024-08-07 17:51:55
73,19,Technology,2024-03-19 20:09:04
74,6,Legal,2023-12-31 19:49:31
75,18,Research and Development,2024-03-12 18:41:21
76,3,Marketing,2024-07-18 14:38:05
77,39,Technology,2024-11-23 06:15:18
78,60,Finance,2024-02-09 07:38:57
79,13,Technology,2024-04-12 20:27:32
80,23,Operations,2024-01-27 09:54:12
81,53,Operations,2024-11-15 14:07:59
82,59,Research and Development,2024-07-02 02:23:46
83,36,Legal,2024-08-24 13:23:00
84,45,Marketing,2024-02-13 17:48:17
85,13,Sales,2024-03-23 06:18:29
86,20,Operations,2024-11-03 08:34:42
87,33,Finance,2024-06-10 09:39:02
88,37,Human Resources,2024-07-05 17:56:29
89,39,Public Relations,2024-07-19 20:10:44
90,27,Human Resources,2024-05-09 06:07:43
91,25,Marketing,2024-04-27 09:08:41
92,2,Human Resources,2024-06-21 23:05:30
93,55,Technology,2023-12-07 20:24:26
94,59,Human Resources,2024-10-25 15:29:51
95,39,Operations,2024-11-20 17:59:46
96,31,Legal,2024-07-16 15:22:23
97,37,Finance,2024-06-01 00:28:22
98,41,Sales,2024-07-09 22:28:44
99,30,Legal,2024-01-03 03:51:17
100,10,Operations,2024-05-23 03:34:23
